用戶ID,日期,當日天氣,心情指數,心情小語
1,2025-02-01,雷陣雨,6,充滿能量的一天！
1,2025-02-02,雷陣雨,7,充滿能量的一天！
1,2025-02-03,雷陣雨,4,平平淡淡的一天。
1,2025-02-04,小雨,7,充滿能量的一天！
1,2025-02-05,小雨,5,有點煩躁，但還能調適。
1,2025-02-06,陰天,5,平平淡淡的一天。
1,2025-02-07,大雨,8,感覺有點低落，需要放鬆。
1,2025-02-08,大雨,3,今天感覺特別愉快！
1,2025-02-09,多雲,6,平平淡淡的一天。
1,2025-02-10,小雨,5,平平淡淡的一天。
1,2025-02-11,多雲,3,充滿挑戰的一天，但收穫很多。
1,2025-02-12,晴天,8,壓力有點大，但還能應付。
1,2025-02-13,小雨,6,充滿挑戰的一天，但收穫很多。
1,2025-02-14,多雲,9,有點疲憊，需要休息。
1,2025-02-15,陰天,9,今天很有成就感！
1,2025-02-16,晴天,7,充滿能量的一天！
1,2025-02-17,晴天,7,有點煩躁，但還能調適。
1,2025-02-18,小雨,8,平平淡淡的一天。
1,2025-02-19,小雨,8,與朋友相處很開心。
1,2025-02-20,大雨,7,今天感覺特別愉快！
1,2025-02-21,陰天,3,今天很有成就感！
1,2025-02-22,陰天,8,充滿能量的一天！
1,2025-02-23,晴天,3,有點煩躁，但還能調適。
1,2025-02-24,多雲,1,感覺有點低落，需要放鬆。
1,2025-02-25,陰天,9,充滿挑戰的一天，但收穫很多。
1,2025-02-26,大雨,3,充滿挑戰的一天，但收穫很多。
1,2025-02-27,雷陣雨,4,充滿挑戰的一天，但收穫很多。
1,2025-02-28,陰天,7,與朋友相處很開心。
1,2025-03-01,雷陣雨,5,充滿挑戰的一天，但收穫很多。
1,2025-03-02,陰天,5,充滿能量的一天！
2,2025-02-01,雷陣雨,1,今天感覺特別愉快！
2,2025-02-02,多雲,1,感覺有點低落，需要放鬆。
2,2025-02-03,陰天,1,有點煩躁，但還能調適。
2,2025-02-04,雷陣雨,1,今天很有成就感！
2,2025-02-05,陰天,4,有點煩躁，但還能調適。
2,2025-02-06,陰天,9,壓力有點大，但還能應付。
2,2025-02-07,晴天,5,感覺有點低落，需要放鬆。
2,2025-02-08,雷陣雨,5,壓力有點大，但還能應付。
2,2025-02-09,晴天,3,有點疲憊，需要休息。
2,2025-02-10,雷陣雨,9,感覺有點低落，需要放鬆。
2,2025-02-11,大雨,5,有點疲憊，需要休息。
2,2025-02-12,多雲,1,今天很有成就感！
2,2025-02-13,小雨,5,充滿能量的一天！
2,2025-02-14,雷陣雨,9,充滿能量的一天！
2,2025-02-15,晴天,3,充滿挑戰的一天，但收穫很多。
2,2025-02-16,雷陣雨,10,今天感覺特別愉快！
2,2025-02-17,陰天,5,與朋友相處很開心。
2,2025-02-18,陰天,9,今天感覺特別愉快！
2,2025-02-19,陰天,6,有點疲憊，需要休息。
2,2025-02-20,陰天,9,壓力有點大，但還能應付。
2,2025-02-21,雷陣雨,5,與朋友相處很開心。
2,2025-02-22,多雲,7,有點煩躁，但還能調適。
2,2025-02-23,小雨,1,有點疲憊，需要休息。
2,2025-02-24,小雨,2,感覺有點低落，需要放鬆。
2,2025-02-25,陰天,4,與朋友相處很開心。
2,2025-02-26,雷陣雨,5,有點煩躁，但還能調適。
2,2025-02-27,小雨,10,今天感覺特別愉快！
2,2025-02-28,雷陣雨,8,與朋友相處很開心。
2,2025-03-01,晴天,4,今天感覺特別愉快！
2,2025-03-02,多雲,2,平平淡淡的一天。
3,2025-02-01,小雨,1,有點煩躁，但還能調適。
3,2025-02-02,小雨,6,充滿能量的一天！
3,2025-02-03,晴天,5,壓力有點大，但還能應付。
3,2025-02-04,晴天,7,平平淡淡的一天。
3,2025-02-05,小雨,1,壓力有點大，但還能應付。
3,2025-02-06,大雨,6,與朋友相處很開心。
3,2025-02-07,小雨,3,今天感覺特別愉快！
3,2025-02-08,陰天,5,平平淡淡的一天。
3,2025-02-09,陰天,8,有點疲憊，需要休息。
3,2025-02-10,陰天,1,充滿挑戰的一天，但收穫很多。
3,2025-02-11,大雨,2,與朋友相處很開心。
3,2025-02-12,陰天,2,平平淡淡的一天。
3,2025-02-13,大雨,9,與朋友相處很開心。
3,2025-02-14,陰天,7,平平淡淡的一天。
3,2025-02-15,多雲,6,有點疲憊，需要休息。
3,2025-02-16,大雨,4,充滿能量的一天！
3,2025-02-17,晴天,5,壓力有點大，但還能應付。
3,2025-02-18,小雨,3,與朋友相處很開心。
3,2025-02-19,多雲,8,有點煩躁，但還能調適。
3,2025-02-20,陰天,8,充滿挑戰的一天，但收穫很多。
3,2025-02-21,多雲,2,充滿挑戰的一天，但收穫很多。
3,2025-02-22,多雲,8,今天很有成就感！
3,2025-02-23,大雨,6,今天感覺特別愉快！
3,2025-02-24,多雲,9,今天感覺特別愉快！
3,2025-02-25,大雨,9,充滿挑戰的一天，但收穫很多。
3,2025-02-26,雷陣雨,10,充滿能量的一天！
3,2025-02-27,晴天,9,有點疲憊，需要休息。
3,2025-02-28,小雨,3,壓力有點大，但還能應付。
3,2025-03-01,大雨,7,今天感覺特別愉快！
3,2025-03-02,雷陣雨,5,有點疲憊，需要休息。
4,2025-02-01,雷陣雨,7,有點煩躁，但還能調適。
4,2025-02-02,小雨,8,壓力有點大，但還能應付。
4,2025-02-03,晴天,2,平平淡淡的一天。
4,2025-02-04,陰天,4,今天感覺特別愉快！
4,2025-02-05,陰天,3,平平淡淡的一天。
4,2025-02-06,雷陣雨,10,平平淡淡的一天。
4,2025-02-07,多雲,8,壓力有點大，但還能應付。
4,2025-02-08,雷陣雨,3,平平淡淡的一天。
4,2025-02-09,大雨,1,今天很有成就感！
4,2025-02-10,陰天,10,今天感覺特別愉快！
4,2025-02-11,大雨,8,感覺有點低落，需要放鬆。
4,2025-02-12,大雨,8,感覺有點低落，需要放鬆。
4,2025-02-13,多雲,5,今天很有成就感！
4,2025-02-14,晴天,1,充滿挑戰的一天，但收穫很多。
4,2025-02-15,多雲,6,今天很有成就感！
4,2025-02-16,晴天,2,平平淡淡的一天。
4,2025-02-17,陰天,7,今天很有成就感！
4,2025-02-18,雷陣雨,3,有點煩躁，但還能調適。
4,2025-02-19,大雨,7,充滿挑戰的一天，但收穫很多。
4,2025-02-20,晴天,2,充滿挑戰的一天，但收穫很多。
4,2025-02-21,小雨,10,有點疲憊，需要休息。
4,2025-02-22,小雨,8,平平淡淡的一天。
4,2025-02-23,大雨,8,充滿挑戰的一天，但收穫很多。
4,2025-02-24,陰天,7,有點疲憊，需要休息。
4,2025-02-25,小雨,9,有點疲憊，需要休息。
4,2025-02-26,雷陣雨,3,與朋友相處很開心。
4,2025-02-27,晴天,8,今天很有成就感！
4,2025-02-28,大雨,2,充滿挑戰的一天，但收穫很多。
4,2025-03-01,小雨,8,充滿能量的一天！
4,2025-03-02,雷陣雨,7,平平淡淡的一天。
5,2025-02-01,大雨,9,充滿挑戰的一天，但收穫很多。
5,2025-02-02,大雨,4,感覺有點低落，需要放鬆。
5,2025-02-03,多雲,4,平平淡淡的一天。
5,2025-02-04,雷陣雨,8,感覺有點低落，需要放鬆。
5,2025-02-05,多雲,6,今天很有成就感！
5,2025-02-06,大雨,1,平平淡淡的一天。
5,2025-02-07,陰天,8,充滿挑戰的一天，但收穫很多。
5,2025-02-08,多雲,9,今天很有成就感！
5,2025-02-09,晴天,5,充滿挑戰的一天，但收穫很多。
5,2025-02-10,大雨,10,今天很有成就感！
5,2025-02-11,多雲,9,壓力有點大，但還能應付。
5,2025-02-12,陰天,2,平平淡淡的一天。
5,2025-02-13,大雨,3,有點疲憊，需要休息。
5,2025-02-14,大雨,2,今天很有成就感！
5,2025-02-15,大雨,3,有點煩躁，但還能調適。
5,2025-02-16,陰天,9,感覺有點低落，需要放鬆。
5,2025-02-17,陰天,4,今天感覺特別愉快！
5,2025-02-18,大雨,8,今天很有成就感！
5,2025-02-19,晴天,5,感覺有點低落，需要放鬆。
5,2025-02-20,多雲,7,今天很有成就感！
5,2025-02-21,雷陣雨,8,壓力有點大，但還能應付。
5,2025-02-22,小雨,2,有點煩躁，但還能調適。
5,2025-02-23,大雨,10,有點疲憊，需要休息。
5,2025-02-24,晴天,7,充滿能量的一天！
5,2025-02-25,陰天,7,平平淡淡的一天。
5,2025-02-26,陰天,4,有點煩躁，但還能調適。
5,2025-02-27,陰天,4,感覺有點低落，需要放鬆。
5,2025-02-28,大雨,5,有點疲憊，需要休息。
5,2025-03-01,小雨,10,充滿挑戰的一天，但收穫很多。
5,2025-03-02,大雨,10,有點疲憊，需要休息。
6,2025-02-01,晴天,9,今天很有成就感！
6,2025-02-02,晴天,4,感覺有點低落，需要放鬆。
6,2025-02-03,雷陣雨,6,感覺有點低落，需要放鬆。
6,2025-02-04,晴天,5,與朋友相處很開心。
6,2025-02-05,雷陣雨,2,今天很有成就感！
6,2025-02-06,陰天,2,今天感覺特別愉快！
6,2025-02-07,大雨,7,感覺有點低落，需要放鬆。
6,2025-02-08,晴天,8,今天很有成就感！
6,2025-02-09,小雨,5,今天感覺特別愉快！
6,2025-02-10,小雨,8,充滿能量的一天！
6,2025-02-11,大雨,5,充滿能量的一天！
6,2025-02-12,晴天,7,充滿能量的一天！
6,2025-02-13,大雨,5,有點煩躁，但還能調適。
6,2025-02-14,多雲,1,感覺有點低落，需要放鬆。
6,2025-02-15,雷陣雨,6,有點疲憊，需要休息。
6,2025-02-16,小雨,4,有點煩躁，但還能調適。
6,2025-02-17,陰天,2,壓力有點大，但還能應付。
6,2025-02-18,小雨,7,有點煩躁，但還能調適。
6,2025-02-19,雷陣雨,4,平平淡淡的一天。
6,2025-02-20,多雲,10,今天感覺特別愉快！
6,2025-02-21,多雲,10,今天很有成就感！
6,2025-02-22,小雨,9,今天感覺特別愉快！
6,2025-02-23,多雲,9,與朋友相處很開心。
6,2025-02-24,晴天,2,今天感覺特別愉快！
6,2025-02-25,晴天,10,平平淡淡的一天。
6,2025-02-26,陰天,6,有點疲憊，需要休息。
6,2025-02-27,晴天,6,壓力有點大，但還能應付。
6,2025-02-28,小雨,6,壓力有點大，但還能應付。
6,2025-03-01,雷陣雨,9,平平淡淡的一天。
6,2025-03-02,晴天,8,充滿挑戰的一天，但收穫很多。
7,2025-02-01,陰天,5,充滿挑戰的一天，但收穫很多。
7,2025-02-02,小雨,7,充滿能量的一天！
7,2025-02-03,多雲,2,與朋友相處很開心。
7,2025-02-04,多雲,4,充滿挑戰的一天，但收穫很多。
7,2025-02-05,大雨,10,與朋友相處很開心。
7,2025-02-06,晴天,3,平平淡淡的一天。
7,2025-02-07,晴天,7,有點煩躁，但還能調適。
7,2025-02-08,雷陣雨,9,今天感覺特別愉快！
7,2025-02-09,晴天,7,今天很有成就感！
7,2025-02-10,雷陣雨,1,感覺有點低落，需要放鬆。
7,2025-02-11,晴天,1,有點煩躁，但還能調適。
7,2025-02-12,雷陣雨,1,今天感覺特別愉快！
7,2025-02-13,雷陣雨,1,壓力有點大，但還能應付。
7,2025-02-14,雷陣雨,10,感覺有點低落，需要放鬆。
7,2025-02-15,小雨,5,今天很有成就感！
7,2025-02-16,大雨,7,充滿能量的一天！
7,2025-02-17,多雲,5,有點疲憊，需要休息。
7,2025-02-18,雷陣雨,3,今天感覺特別愉快！
7,2025-02-19,多雲,8,今天感覺特別愉快！
7,2025-02-20,陰天,3,今天很有成就感！
7,2025-02-21,大雨,10,壓力有點大，但還能應付。
7,2025-02-22,小雨,1,充滿挑戰的一天，但收穫很多。
7,2025-02-23,大雨,1,平平淡淡的一天。
7,2025-02-24,陰天,10,與朋友相處很開心。
7,2025-02-25,晴天,4,今天很有成就感！
7,2025-02-26,雷陣雨,6,充滿挑戰的一天，但收穫很多。
7,2025-02-27,多雲,3,平平淡淡的一天。
7,2025-02-28,小雨,5,今天很有成就感！
7,2025-03-01,陰天,9,充滿能量的一天！
7,2025-03-02,晴天,6,有點煩躁，但還能調適。
8,2025-02-01,雷陣雨,2,壓力有點大，但還能應付。
8,2025-02-02,陰天,7,充滿能量的一天！
8,2025-02-03,陰天,2,平平淡淡的一天。
8,2025-02-04,大雨,7,今天很有成就感！
8,2025-02-05,多雲,1,今天感覺特別愉快！
8,2025-02-06,晴天,1,充滿能量的一天！
8,2025-02-07,小雨,10,今天很有成就感！
8,2025-02-08,陰天,2,壓力有點大，但還能應付。
8,2025-02-09,小雨,4,有點疲憊，需要休息。
8,2025-02-10,陰天,5,平平淡淡的一天。
8,2025-02-11,小雨,5,與朋友相處很開心。
8,2025-02-12,大雨,2,充滿能量的一天！
8,2025-02-13,多雲,8,有點疲憊，需要休息。
8,2025-02-14,雷陣雨,5,感覺有點低落，需要放鬆。
8,2025-02-15,晴天,3,充滿能量的一天！
8,2025-02-16,大雨,1,有點疲憊，需要休息。
8,2025-02-17,陰天,5,充滿能量的一天！
8,2025-02-18,陰天,5,今天感覺特別愉快！
8,2025-02-19,陰天,4,有點疲憊，需要休息。
8,2025-02-20,多雲,4,充滿能量的一天！
8,2025-02-21,多雲,10,與朋友相處很開心。
8,2025-02-22,多雲,2,今天感覺特別愉快！
8,2025-02-23,大雨,1,與朋友相處很開心。
8,2025-02-24,陰天,4,平平淡淡的一天。
8,2025-02-25,多雲,9,有點疲憊，需要休息。
8,2025-02-26,大雨,2,今天很有成就感！
8,2025-02-27,小雨,8,充滿能量的一天！
8,2025-02-28,多雲,3,壓力有點大，但還能應付。
8,2025-03-01,雷陣雨,3,今天很有成就感！
8,2025-03-02,晴天,5,今天很有成就感！
9,2025-02-01,晴天,10,今天感覺特別愉快！
9,2025-02-02,晴天,10,充滿挑戰的一天，但收穫很多。
9,2025-02-03,陰天,8,與朋友相處很開心。
9,2025-02-04,陰天,7,壓力有點大，但還能應付。
9,2025-02-05,陰天,6,今天很有成就感！
9,2025-02-06,雷陣雨,7,今天感覺特別愉快！
9,2025-02-07,雷陣雨,1,壓力有點大，但還能應付。
9,2025-02-08,陰天,3,充滿能量的一天！
9,2025-02-09,小雨,10,與朋友相處很開心。
9,2025-02-10,雷陣雨,6,今天感覺特別愉快！
9,2025-02-11,雷陣雨,10,壓力有點大，但還能應付。
9,2025-02-12,晴天,8,今天感覺特別愉快！
9,2025-02-13,大雨,10,有點煩躁，但還能調適。
9,2025-02-14,多雲,7,今天很有成就感！
9,2025-02-15,多雲,2,與朋友相處很開心。
9,2025-02-16,陰天,1,平平淡淡的一天。
9,2025-02-17,晴天,6,與朋友相處很開心。
9,2025-02-18,多雲,10,有點疲憊，需要休息。
9,2025-02-19,大雨,4,充滿能量的一天！
9,2025-02-20,雷陣雨,8,有點煩躁，但還能調適。
9,2025-02-21,大雨,9,與朋友相處很開心。
9,2025-02-22,大雨,3,感覺有點低落，需要放鬆。
9,2025-02-23,小雨,9,有點疲憊，需要休息。
9,2025-02-24,小雨,10,充滿能量的一天！
9,2025-02-25,大雨,4,充滿挑戰的一天，但收穫很多。
9,2025-02-26,大雨,2,今天感覺特別愉快！
9,2025-02-27,多雲,10,壓力有點大，但還能應付。
9,2025-02-28,小雨,2,與朋友相處很開心。
9,2025-03-01,大雨,8,充滿挑戰的一天，但收穫很多。
9,2025-03-02,大雨,4,感覺有點低落，需要放鬆。
10,2025-02-01,大雨,8,今天感覺特別愉快！
10,2025-02-02,多雲,6,有點煩躁，但還能調適。
10,2025-02-03,大雨,2,充滿挑戰的一天，但收穫很多。
10,2025-02-04,小雨,4,有點疲憊，需要休息。
10,2025-02-05,晴天,8,有點煩躁，但還能調適。
10,2025-02-06,陰天,9,充滿挑戰的一天，但收穫很多。
10,2025-02-07,晴天,9,與朋友相處很開心。
10,2025-02-08,晴天,1,今天很有成就感！
10,2025-02-09,雷陣雨,5,與朋友相處很開心。
10,2025-02-10,小雨,2,感覺有點低落，需要放鬆。
10,2025-02-11,晴天,9,平平淡淡的一天。
10,2025-02-12,多雲,6,今天很有成就感！
10,2025-02-13,陰天,5,與朋友相處很開心。
10,2025-02-14,多雲,2,壓力有點大，但還能應付。
10,2025-02-15,陰天,10,充滿能量的一天！
10,2025-02-16,晴天,6,有點疲憊，需要休息。
10,2025-02-17,晴天,2,今天感覺特別愉快！
10,2025-02-18,多雲,9,與朋友相處很開心。
10,2025-02-19,大雨,8,今天感覺特別愉快！
10,2025-02-20,雷陣雨,6,有點疲憊，需要休息。
10,2025-02-21,陰天,3,充滿能量的一天！
10,2025-02-22,小雨,8,充滿挑戰的一天，但收穫很多。
10,2025-02-23,小雨,5,充滿挑戰的一天，但收穫很多。
10,2025-02-24,小雨,3,充滿挑戰的一天，但收穫很多。
10,2025-02-25,陰天,9,有點煩躁，但還能調適。
10,2025-02-26,雷陣雨,4,有點疲憊，需要休息。
10,2025-02-27,小雨,7,感覺有點低落，需要放鬆。
10,2025-02-28,雷陣雨,6,與朋友相處很開心。
10,2025-03-01,小雨,10,今天感覺特別愉快！
10,2025-03-02,多雲,1,充滿挑戰的一天，但收穫很多。
